ensembl_gene_id	hgnc_symbol
ENSG00000004468	ENSG00000004468	CD38
ENSG00000004939	ENSG00000004939	SLC4A1
ENSG00000006704	ENSG00000006704	GTF2IRD1
ENSG00000006756	ENSG00000006756	ARSD
ENSG00000007038	ENSG00000007038	PRSS21
ENSG00000008311	ENSG00000008311	AASS
ENSG00000008405	ENSG00000008405	CRY1
ENSG00000010278	ENSG00000010278	CD9
ENSG00000011028	ENSG00000011028	MRC2
ENSG00000011422	ENSG00000011422	PLAUR
ENSG00000019102	ENSG00000019102	VSIG2
ENSG00000021762	ENSG00000021762	OSBPL5
ENSG00000022267	ENSG00000022267	FHL1
ENSG00000022556	ENSG00000022556	NLRP2
ENSG00000026559	ENSG00000026559	KCNG1
ENSG00000036448	ENSG00000036448	MYOM2
ENSG00000038382	ENSG00000038382	TRIO
ENSG00000038427	ENSG00000038427	VCAN
ENSG00000044459	ENSG00000044459	CNTLN
ENSG00000047597	ENSG00000047597	XK
ENSG00000047634	ENSG00000047634	SCML1
ENSG00000048052	ENSG00000048052	HDAC9
ENSG00000049247	ENSG00000049247	UTS2
ENSG00000050030	ENSG00000050030	NEXMIF
ENSG00000050555	ENSG00000050555	LAMC3
ENSG00000051128	ENSG00000051128	HOMER3
ENSG00000053918	ENSG00000053918	KCNQ1
ENSG00000054392	ENSG00000054392	HHAT
ENSG00000060982	ENSG00000060982	BCAT1
ENSG00000064042	ENSG00000064042	LIMCH1
ENSG00000064692	ENSG00000064692	SNCAIP
ENSG00000065534	ENSG00000065534	MYLK
ENSG00000069188	ENSG00000069188	SDK2
ENSG00000070808	ENSG00000070808	CAMK2A
ENSG00000071246	ENSG00000071246	VASH1
ENSG00000071909	ENSG00000071909	MYO3B
ENSG00000072133	ENSG00000072133	RPS6KA6
ENSG00000072832	ENSG00000072832	CRMP1
ENSG00000072840	ENSG00000072840	EVC
ENSG00000073008	ENSG00000073008	PVR
ENSG00000073282	ENSG00000073282	TP63
ENSG00000073756	ENSG00000073756	PTGS2
ENSG00000075035	ENSG00000075035	WSCD2
ENSG00000075340	ENSG00000075340	ADD2
ENSG00000075391	ENSG00000075391	RASAL2
ENSG00000075651	ENSG00000075651	PLD1
ENSG00000077063	ENSG00000077063	CTTNBP2
ENSG00000077782	ENSG00000077782	FGFR1
ENSG00000078900	ENSG00000078900	TP73
ENSG00000079819	ENSG00000079819	EPB41L2
ENSG00000080007	ENSG00000080007	DDX43
ENSG00000081041	ENSG00000081041	CXCL2
ENSG00000081052	ENSG00000081052	COL4A4
ENSG00000082438	ENSG00000082438	COBLL1
ENSG00000082781	ENSG00000082781	ITGB5
ENSG00000085265	ENSG00000085265	FCN1
ENSG00000087258	ENSG00000087258	GNAO1
ENSG00000089692	ENSG00000089692	LAG3
ENSG00000090382	ENSG00000090382	LYZ
ENSG00000090530	ENSG00000090530	P3H2
ENSG00000091129	ENSG00000091129	NRCAM
ENSG00000091436	ENSG00000091436	MAP3K20
ENSG00000092096	ENSG00000092096	SLC22A17
ENSG00000092345	ENSG00000092345	DAZL
ENSG00000092621	ENSG00000092621	PHGDH
ENSG00000092969	ENSG00000092969	TGFB2
ENSG00000095739	ENSG00000095739	BAMBI
ENSG00000095777	ENSG00000095777	MYO3A
ENSG00000099954	ENSG00000099954	CECR2
ENSG00000100473	ENSG00000100473	COCH
ENSG00000100968	ENSG00000100968	NFATC4
ENSG00000101004	ENSG00000101004	NINL
ENSG00000101335	ENSG00000101335	MYL9
ENSG00000101336	ENSG00000101336	HCK
ENSG00000101439	ENSG00000101439	CST3
ENSG00000101493	ENSG00000101493	ZNF516
ENSG00000102038	ENSG00000102038	SMARCA1
ENSG00000102174	ENSG00000102174	PHEX
ENSG00000102221	ENSG00000102221	JADE3
ENSG00000102595	ENSG00000102595	UGGT2
ENSG00000102780	ENSG00000102780	DGKH
ENSG00000103647	ENSG00000103647	CORO2B
ENSG00000104447	ENSG00000104447	TRPS1
ENSG00000104611	ENSG00000104611	SH2D4A
ENSG00000105426	ENSG00000105426	PTPRS
ENSG00000105492	ENSG00000105492	SIGLEC6
ENSG00000105641	ENSG00000105641	SLC5A5
ENSG00000105810	ENSG00000105810	CDK6
ENSG00000105854	ENSG00000105854	PON2
ENSG00000105928	ENSG00000105928	GSDME
ENSG00000105967	ENSG00000105967	TFEC
ENSG00000105974	ENSG00000105974	CAV1
ENSG00000106537	ENSG00000106537	TSPAN13
ENSG00000106546	ENSG00000106546	AHR
ENSG00000108551	ENSG00000108551	RASD1
ENSG00000109113	ENSG00000109113	RAB34
ENSG00000109321	ENSG00000109321	AREG
ENSG00000109787	ENSG00000109787	KLF3
ENSG00000110077	ENSG00000110077	MS4A6A
ENSG00000110852	ENSG00000110852	CLEC2B
ENSG00000110987	ENSG00000110987	BCL7A
ENSG00000111046	ENSG00000111046	MYF6
ENSG00000111186	ENSG00000111186	WNT5B
ENSG00000111344	ENSG00000111344	RASAL1
ENSG00000111816	ENSG00000111816	FRK
ENSG00000111962	ENSG00000111962	UST
ENSG00000112139	ENSG00000112139	MDGA1
ENSG00000112812	ENSG00000112812	PRSS16
ENSG00000112874	ENSG00000112874	NUDT12
ENSG00000113504	ENSG00000113504	SLC12A7
ENSG00000113645	ENSG00000113645	WWC1
ENSG00000114251	ENSG00000114251	WNT5A
ENSG00000114405	ENSG00000114405	C3orf14
ENSG00000114541	ENSG00000114541	FRMD4B
ENSG00000114812	ENSG00000114812	VIPR1
ENSG00000115138	ENSG00000115138	POMC
ENSG00000115232	ENSG00000115232	ITGA4
ENSG00000115295	ENSG00000115295	CLIP4
ENSG00000116141	ENSG00000116141	MARK1
ENSG00000117090	ENSG00000117090	SLAMF1
ENSG00000117215	ENSG00000117215	PLA2G2D
ENSG00000117519	ENSG00000117519	CNN3
ENSG00000117707	ENSG00000117707	PROX1
ENSG00000118432	ENSG00000118432	CNR1
ENSG00000118508	ENSG00000118508	RAB32
ENSG00000118513	ENSG00000118513	MYB
ENSG00000119508	ENSG00000119508	NR4A3
ENSG00000119535	ENSG00000119535	CSF3R
ENSG00000120549	ENSG00000120549	KIAA1217
ENSG00000120708	ENSG00000120708	TGFBI
ENSG00000120738	ENSG00000120738	EGR1
ENSG00000120915	ENSG00000120915	EPHX2
ENSG00000122025	ENSG00000122025	FLT3
ENSG00000122378	ENSG00000122378	PRXL2A
ENSG00000122644	ENSG00000122644	ARL4A
ENSG00000123689	ENSG00000123689	G0S2
